last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Inciarte, Ender,542255,575,8.6,34.3,102.7,81.2,87.4,75.8,434,151,382,74,12.9,3,0.5,0.4
Gordon, Dee,543829,566,0.2,27.7,104.1,79.3,85.8,76.0,395,122,380,62,11.0,1,0.2,0.1
Lindor, Francisco,596019,566,13.6,32.3,111.7,88.3,92.7,83.6,456,192,401,201,35.6,41,7.2,5.7
Cabrera, Melky,466320,554,8.7,33.9,113.6,88.2,90.9,87.1,420,161,393,193,35.0,21,3.8,3.2
Betts, Mookie,605141,554,14.1,32.5,111.7,88.4,92.9,87.4,434,179,396,208,37.9,25,4.5,3.5
Andrus, Elvis,462101,547,7.5,32.7,108.1,86.4,91.8,82.8,436,160,403,170,31.1,23,4.2,3.3
Simmons, Andrelton,592743,530,7.6,31.3,109.7,85.9,90.9,83.1,438,155,395,151,28.7,13,2.5,2.0
LeMahieu, DJ,518934,527,2.8,31.7,109.2,88.8,92.5,86.8,433,138,390,217,41.2,10,1.9,1.5
Machado, Manny,592518,524,13.4,30.3,116.3,90.9,96.5,88.2,470,178,406,248,47.3,55,10.5,8.0
Ramirez, Jose,608070,521,14.8,35.5,108.3,88.0,91.9,84.8,440,185,391,180,34.7,26,5.0,4.0
Longoria, Evan,446334,516,12.7,32.4,109.9,86.7,92.7,82.4,422,170,394,166,32.2,27,5.2,4.0
Blackmon, Charlie,453568,515,12.8,38.1,110.8,86.9,91.7,82.1,477,190,411,184,35.8,45,8.7,6.2
Altuve, Jose,514888,511,9.1,34.6,109.1,85.5,91.4,80.9,430,167,393,141,27.6,34,6.7,5.1
Cano, Robinson,429664,510,7.4,33.9,112.7,90.3,94.0,87.9,443,164,398,222,43.6,32,6.3,4.9
Escobar, Alcides,444876,508,12.7,33.9,105.3,83.1,88.6,78.4,411,172,385,105,20.8,11,2.2,1.7
Arenado, Nolan,571448,507,17.3,37.5,109.9,88.8,93.0,84.2,456,206,409,190,37.5,43,8.5,6.3
Merrifield, Whit,593160,507,15.8,36.9,110.5,87.0,92.1,81.3,430,195,396,148,29.4,26,5.1,4.1
Abreu, Jose,547989,506,11.3,34.6,114.9,90.5,95.4,87.0,464,180,408,227,45.0,48,9.5,7.1
Pujols, Albert,405395,504,13.4,31.9,112.2,88.7,93.3,85.5,459,177,408,194,38.6,27,5.4,4.2
Galvis, Freddy,520471,503,14.0,32.8,106.0,85.1,89.9,80.3,417,179,387,117,23.3,12,2.4,1.8
Phillips, Brandon,408252,502,8.0,31.9,108.4,84.5,89.3,81.6,447,143,407,125,25.2,12,2.4,2.0
Hosmer, Eric,543333,501,3.8,30.7,118.0,89.7,94.1,87.8,458,150,403,194,39.0,35,7.0,5.2
Pillar, Kevin,607680,498,12.8,33.3,111.9,85.5,90.0,83.3,451,172,402,141,28.4,17,3.4,2.7
Jones, Adam,430945,488,11.6,34.0,110.9,86.5,91.4,83.1,452,167,391,147,30.2,31,6.4,4.9
Schoop, Jonathan,570731,487,12.9,35.5,116.0,87.7,92.6,85.1,462,169,402,176,36.1,33,6.8,4.9
Cain, Lorenzo,456715,486,10.1,32.1,112.0,89.1,92.2,88.2,436,173,399,170,35.1,17,3.5,2.6
Rizzo, Anthony,519203,486,15.3,34.2,113.6,88.1,94.4,82.2,462,186,408,187,38.7,45,9.3,6.5
Markakis, Nick,455976,486,8.6,34.2,114.4,88.3,91.5,86.4,429,161,391,166,34.4,16,3.3,2.4
Franco, Maikel,596748,485,11.4,26.6,113.0,88.9,93.6,86.9,431,165,391,175,36.2,29,6.0,4.7
Votto, Joey,458015,482,14.0,40.5,110.9,87.6,92.6,80.4,449,197,398,158,32.8,44,9.1,6.2
Gardner, Brett,458731,480,9.2,34.4,107.9,85.4,90.2,81.7,415,167,387,148,30.8,18,3.8,2.6
Santana, Carlos,467793,479,12.7,28.4,112.3,88.4,93.5,84.5,434,173,395,184,38.6,36,7.5,5.4
Dozier, Brian,572821,478,16.5,32.2,111.8,87.5,94.4,80.8,435,190,395,164,34.4,40,8.4,5.7
Castellanos, Nicholas,592206,477,14.1,42.8,110.5,89.1,93.3,83.3,448,202,397,199,41.8,51,10.7,7.7
Seager, Kyle,572122,474,20.2,35.4,109.1,87.8,92.1,83.3,433,207,396,159,33.7,41,8.6,6.3
Gurriel, Yuli,493329,473,10.3,29.4,114.4,89.8,94.4,87.4,435,170,393,203,43.1,16,3.4,2.8
Ozuna, Marcell,542303,471,10.1,31.2,114.5,90.7,96.4,86.7,468,167,413,212,45.2,44,9.3,6.5
Yelich, Christian,592885,471,4.7,29.9,112.4,90.4,94.7,87.6,442,146,397,216,46.1,33,7.0,4.7
Gregorius, Didi,544369,471,17.4,35.2,106.2,84.4,88.5,82.0,429,186,377,98,20.8,17,3.6,3.0
Benintendi, Andrew,643217,470,14.2,31.7,108.5,87.1,91.4,84.0,454,177,398,156,33.2,26,5.5,4.0
Lowrie, Jed,476704,470,18.6,43.2,106.3,88.8,91.4,85.9,426,201,392,174,37.1,28,6.0,4.3
Panik, Joe,605412,468,11.3,33.1,108.0,84.5,89.8,80.1,426,167,390,111,23.8,12,2.6,2.1
Bregman, Alex,608324,467,16.2,35.1,105.6,87.4,91.8,83.9,430,184,387,157,33.8,22,4.7,3.5
Moustakas, Mike,519058,467,18.3,34.0,112.9,87.3,92.3,84.7,440,197,397,156,33.5,40,8.6,6.7
Kinsler, Ian,435079,465,19.3,37.2,105.9,86.2,91.4,81.6,414,198,383,140,30.1,23,4.9,3.8
Murphy, Daniel,502517,460,17.3,39.6,108.4,89.6,92.8,87.1,428,196,389,191,41.6,22,4.8,3.7
Bogaerts, Xander,593428,457,8.2,26.7,113.9,87.3,90.8,86.5,437,145,401,138,30.2,6,1.3,0.9
McCutchen, Andrew,457705,457,14.2,33.9,109.5,88.4,93.4,83.6,432,183,393,175,38.7,35,7.7,5.4
Hamilton, Billy,571740,456,8.3,32.5,103.7,78.6,84.0,75.1,405,149,376,51,11.2,2,0.4,0.3
Odor, Rougned,596059,449,15.2,27.4,112.4,88.4,94.2,84.2,466,180,395,163,36.4,27,6.0,4.1
Rosario, Eddie,592696,448,12.7,32.4,107.5,86.6,93.2,79.9,445,175,397,142,31.7,33,7.4,5.6
Mauer, Joe,408045,445,5.6,35.7,108.2,90.2,94.8,86.6,413,155,395,204,45.8,20,4.5,3.4
Segura, Jean,516416,442,6.6,32.8,109.1,87.4,90.7,85.6,428,149,390,151,34.2,14,3.2,2.5
Calhoun, Kole,594777,441,12.1,34.9,110.1,88.2,92.0,85.5,425,176,397,154,35.0,24,5.4,3.7
Springer, George,543807,441,9.4,31.5,114.6,89.3,96.0,84.5,473,170,402,186,42.6,41,9.3,6.5
Dickerson, Corey,572816,438,13.8,35.8,112.9,87.2,91.1,83.6,449,182,400,136,31.2,33,7.5,5.2
Molina, Yadier,425877,437,14.5,35.7,106.2,87.8,92.1,84.5,434,184,398,148,34.3,26,5.9,4.8
Stanton, Giancarlo,519317,437,11.1,31.6,122.2,91.9,99.8,86.8,477,182,418,198,45.4,76,17.4,11.0
Healy, Ryon,592387,436,12.6,35.8,112.7,88.2,93.2,84.2,443,176,413,175,40.3,33,7.6,5.5
Bell, Josh,605137,436,8.6,29.4,112.4,87.7,92.2,85.3,441,155,403,147,34.1,29,6.7,4.7
Peralta, David,444482,434,4.2,27.0,113.8,88.0,93.7,84.9,455,144,395,152,35.0,18,4.1,3.1
Smoak, Justin,475253,434,17.0,39.6,110.0,89.7,94.6,83.4,437,205,401,185,42.7,59,13.6,9.3
Posey, Buster,457763,433,11.6,36.5,109.6,88.7,92.5,84.7,431,177,387,149,34.5,15,3.5,2.6
Rendon, Anthony,543685,432,18.0,35.2,110.1,89.8,92.6,87.3,454,206,402,162,37.9,28,6.5,4.6
Reyes, Jose,408314,430,14.6,32.8,108.4,83.5,88.5,80.4,406,179,384,104,24.2,11,2.6,2.0
Mazara, Nomar,608577,430,11.3,30.5,113.6,89.0,94.9,85.6,453,165,414,158,36.8,28,6.5,4.5
Span, Denard,452655,430,10.3,34.2,108.5,84.6,89.3,82.0,420,164,391,108,25.1,14,3.3,2.6
Realmuto, J.T.,592663,429,9.9,32.9,111.4,88.2,91.8,85.9,444,165,396,152,35.6,27,6.3,4.7
Morales, Kendrys,434778,428,9.5,30.8,113.0,91.1,96.2,87.5,465,173,415,194,45.4,43,10.0,7.1
Duvall, Adam,594807,428,21.2,35.0,110.8,87.3,92.5,82.3,437,201,396,139,32.6,38,8.9,5.9
Anderson, Tim,641313,428,7.1,31.5,108.8,85.0,91.4,80.7,451,152,404,130,30.4,22,5.1,3.6
Bryant, Kris,592178,427,16.9,34.9,113.0,87.1,92.2,80.8,451,196,401,155,36.4,41,9.6,6.2
Encarnacion, Edwin,429665,426,16.7,36.4,112.0,89.2,94.2,84.0,457,194,406,179,42.0,45,10.6,6.7
Bautista, Jose,430832,424,16.9,29.7,112.9,88.3,93.2,85.4,450,188,402,151,35.6,28,6.6,4.1
Polanco, Jorge,593871,423,14.8,31.4,107.0,83.6,89.1,78.3,428,176,392,107,25.3,11,2.6,2.0
Cruz, Nelson,443558,423,12.4,34.5,117.7,93.2,98.5,88.4,482,198,412,204,48.3,60,14.2,9.3
Peraza, Jose,606299,421,9.9,32.3,106.9,81.9,84.2,81.4,436,152,317,84,20.0,7,1.7,1.4
Bruce, Jay,457803,419,18.2,39.9,111.5,88.4,92.5,83.3,436,205,400,161,38.5,45,10.7,7.3
Choo, Shin-Soo,425783,418,7.2,36.1,109.8,88.0,93.7,83.2,447,168,401,157,37.6,36,8.6,5.7
Reddick, Josh,502210,418,17.5,38.5,110.2,87.2,90.8,84.4,422,195,386,130,31.3,16,3.8,3.0
