last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Merrifield, Whit,593160,559,15.3,42.4,104.8,86.4,90.6,81.4,434,183,392,161,28.9,24,4.3,3.3
Semien, Marcus,543760,556,14.7,34.7,108.2,88.8,93.2,85.3,438,182,401,207,37.8,47,8.5,6.3
Castro, Starlin,516770,534,10.9,29.6,113.3,88.6,91.5,87.4,438,161,399,201,37.7,33,6.2,4.9
Fletcher, David,664058,534,9.8,38.4,104.5,83.7,86.6,82.3,413,162,375,89,16.9,2,0.4,0.3
Albies, Ozzie,645277,532,15.6,36.8,110.8,88.8,91.4,86.1,444,190,394,178,33.5,35,6.6,5.0
Devers, Rafael,646240,531,10.3,33.1,115.0,92.1,96.3,89.3,458,176,403,252,47.5,48,9.0,6.8
Pillar, Kevin,607680,529,13.9,33.1,111.7,86.0,90.8,83.1,440,162,400,162,30.7,26,4.9,4.0
Polanco, Jorge,593871,524,17.9,41.8,108.2,87.0,91.7,80.4,424,208,393,171,33.0,35,6.7,5.0
LeMahieu, DJ,518934,517,6.7,36.6,111.1,91.7,95.2,89.3,446,160,386,243,47.2,39,7.5,6.0
Hernandez, Cesar,514917,516,9.3,32.0,108.4,85.7,88.5,84.9,424,147,391,146,28.3,14,2.7,2.1
Escobar, Eduardo,500871,516,18.3,38.6,106.9,87.8,91.1,83.8,433,212,393,162,31.5,36,7.0,5.2
Andrus, Elvis,462101,514,7.1,32.5,110.2,88.2,90.7,87.2,447,151,402,176,34.4,18,3.5,2.8
Brantley, Michael,488726,513,10.6,38.4,108.9,88.7,92.5,86.5,438,165,394,187,37.4,30,5.8,4.7
Lindor, Francisco,596019,507,11.9,29.8,113.5,90.6,93.7,89.5,437,174,397,205,40.6,38,7.5,5.8
Segura, Jean,516416,507,7.0,31.0,113.1,88.0,90.6,87.5,427,149,389,166,32.7,16,3.2,2.6
Gurriel, Yuli,493329,505,14.5,34.3,110.6,89.3,91.4,90.4,450,173,387,185,37.5,19,3.8,3.1
Betts, Mookie,605141,505,19.1,39.4,109.3,91.0,94.2,88.0,438,206,391,235,46.6,52,10.3,7.4
Arenado, Nolan,571448,503,17.7,34.6,109.9,89.4,92.9,87.9,482,192,406,188,37.4,40,8.0,6.0
Bogaerts, Xander,593428,498,13.1,35.3,112.4,90.6,94.0,88.5,451,183,398,217,43.7,43,8.6,6.2
Rosario, Amed,642708,497,8.8,35.6,110.3,89.2,91.7,87.8,428,160,396,193,39.1,21,4.2,3.2
Abreu, Jose,547989,492,10.9,35.2,117.9,92.1,96.1,89.7,462,168,405,237,48.2,63,12.8,9.1
Marte, Ketel,606466,485,11.5,34.6,116.3,89.8,93.5,87.3,482,174,407,194,40.0,45,9.3,7.2
Frazier, Adam,624428,484,12.1,36.4,106.1,86.3,89.5,83.9,423,174,391,134,28.0,9,1.9,1.5
Rosario, Eddie,592696,482,16.7,33.4,108.6,89.1,93.9,84.8,433,188,392,172,36.0,41,8.5,6.9
Blackmon, Charlie,453568,481,14.5,36.8,110.6,88.5,92.8,84.5,464,189,412,193,40.1,40,8.3,6.3
Alberto, Hanser,593643,480,10.7,32.7,103.6,82.8,86.6,80.4,418,156,395,88,18.3,14,2.9,2.5
Bregman, Alex,608324,479,19.6,36.5,107.4,89.3,92.3,88.0,440,202,382,175,37.5,26,5.4,3.8
Castellanos, Nicholas,592206,475,13.9,40.0,111.2,89.0,93.9,83.3,436,197,394,195,41.4,53,11.2,8.0
Freeman, Freddie,518692,472,14.5,40.3,112.0,89.7,93.9,85.1,446,192,404,199,42.3,59,12.5,8.5
Villar, Jonathan,542340,472,7.0,30.3,114.0,87.7,92.8,85.2,456,157,412,175,37.1,32,6.8,4.5
Eaton, Adam,594809,472,13.2,33.9,110.7,86.6,91.6,83.1,444,180,392,161,34.2,18,3.8,2.7
Rendon, Anthony,543685,468,19.5,38.7,107.7,90.4,93.5,88.3,431,208,398,218,46.6,56,12.0,8.7
Santana, Carlos,467793,467,11.8,29.1,112.8,91.8,93.5,91.9,426,171,396,209,44.9,45,9.6,6.6
Mancini, Trey,641820,464,7.8,36.4,113.9,90.3,95.8,85.7,438,172,404,198,42.7,48,10.3,7.1
Gordon, Alex,460086,463,9.0,33.7,110.6,88.2,92.4,84.7,454,169,399,174,37.8,25,5.4,3.9
Machado, Manny,592518,462,13.0,31.2,112.6,91.2,94.5,91.6,455,178,400,202,43.7,37,8.0,5.6
